episode,global_steps,score,avg_score,epsilon
426,36645,-1,19.62,0.1
427,36770,22,19.63,0.1
428,36908,23,19.64,0.1
429,37034,22,19.65,0.1
430,37163,22,19.65,0.1
431,37293,22,19.65,0.1
432,37431,23,19.66,0.1
433,37572,23,19.67,0.1
434,37700,22,19.68,0.1
435,37794,15,19.68,0.1
436,37920,22,19.69,0.1
437,38046,21,19.69,0.1
438,38171,22,19.7,0.1
439,38295,21,19.69,0.1
440,38422,22,19.71,0.1
441,38546,21,19.72,0.1
442,38671,22,19.73,0.1
443,38811,23,19.8,0.1
444,38940,21,19.8,0.1
445,39065,21,19.81,0.1
446,39191,22,19.82,0.1
447,39317,22,19.84,0.1
448,39441,21,19.92,0.1
449,39565,21,19.91,0.1
450,39704,23,19.93,0.1
451,39831,22,19.95,0.1
452,39954,21,20.16,0.1
453,40078,22,20.2,0.1
454,40204,22,20.21,0.1
455,40327,21,20.28,0.1
456,40453,22,20.29,0.1
457,40476,0,20.06,0.1
458,40606,22,20.06,0.1
459,40729,20,20.07,0.1
460,40855,22,20.07,0.1
461,40980,21,20.1,0.1
462,41117,23,20.1,0.1
463,41256,23,20.3,0.1
464,41380,21,20.39,0.1
465,41506,21,20.38,0.1
466,41536,0,20.2,0.1
467,41673,23,20.21,0.1
468,41698,-1,19.99,0.1
469,41725,-1,19.95,0.1
470,41850,21,19.95,0.1
471,41984,23,19.96,0.1
472,42118,23,19.97,0.1
473,42242,21,19.96,0.1
474,42370,22,20.02,0.1
475,42504,23,20.03,0.1
476,42630,22,20.03,0.1
477,42764,23,20.05,0.1
478,42890,21,20.06,0.1
479,43022,23,20.07,0.1
480,43143,20,20.09,0.1
481,43281,23,20.12,0.1
482,43418,23,20.12,0.1
483,43557,23,20.14,0.1
484,43686,22,20.14,0.1
485,43811,21,20.14,0.1
486,43949,23,20.28,0.1
487,44088,23,20.29,0.1
488,44223,23,20.31,0.1
489,44285,9,20.22,0.1
490,44380,15,20.15,0.1
491,44521,23,20.18,0.1
492,44647,21,20.24,0.1
493,44785,23,20.25,0.1
494,44912,21,20.26,0.1
495,45006,15,20.21,0.1
496,45141,23,20.29,0.1
497,45279,23,20.3,0.1
498,45414,23,20.31,0.1
499,45510,15,20.25,0.1
500,45634,22,20.24,0.1
501,45757,21,20.27,0.1
502,45895,23,20.29,0.1
503,45990,15,20.22,0.1
504,46037,-1,19.99,0.1
505,46174,23,20.0,0.1
506,46292,19,19.97,0.1
507,46391,15,19.91,0.1
508,46514,21,19.91,0.1
509,46640,21,19.95,0.1
510,46779,23,19.96,0.1
511,46873,15,19.9,0.1
512,46892,0,19.71,0.1
513,47014,20,19.7,0.1
514,47135,20,19.68,0.1
515,47230,15,19.68,0.1
516,47324,15,19.62,0.1
517,47456,23,19.62,0.1
